product_id,title,content
27631,【熱門景點包車一日遊】新社古堡、大坑風景區、永康彩繪村（台中出發、高雄結束） - KKday,從台中市區自行指定地點出發，親切司導的帶領下，開啟一日私人專屬包車服務暢遊南台灣！
24102,【宜蘭包車一日遊】永恆水教堂、豆腐岬、賊仔澳玻璃海灘、東澳海蝕洞、東岳部落（台北出發） - KKday,從台北市區自行指定地點出發，親切司導的帶領下，開啟一日私人專屬包車服務暢遊台灣！
24134,【台北包車一日遊】草山玉溪、小隱潭瀑布、19號咖啡館、三芝田心子 - KKday,從台北市區自行指定地點出發，親切司導的帶領下，開啟一日私人專屬包車服務暢遊台灣！
10346,菲律賓薄荷島 | Alona Beach 潛水體驗 - KKday,薄荷島有三個主要的潛點，其中擁有小長灘島之稱的 Alona Beach，離機場碼頭近，成為許多旅客到薄荷島潛水的首選。即使是第一次潛水的你也不用擔心，擁有潛水執照的教練將帶你克服恐懼，深入探索薄荷色的海底世界！
25518,【仙本那水上活動】海底漫步特色體驗 - KKday,造訪仙本那，戴上先進的海底呼吸頭盔，像美人魚一樣在海底漫步，透過氧氣管線就可以輕鬆地在海底與各式各樣美麗的魚兒一起在嬉戲，同時也能欣賞美麗的珊瑚礁。即使不會游泳也能像美人魚一般在海底穿梭自如，欣賞美麗的海底世界，感受海洋世界的奧妙。
19179,【曼谷貴婦泰式按摩】Divana Divine Spa 聖潔水療館按摩體驗（通羅分店） - KKday,透過 KKday 提前預訂曼谷 Divana Divine Spa 按摩體驗，不必擔心客滿，輕鬆前往榮獲 CNN 評選為曼谷最佳六大泰式按摩的名店之一，你可選擇多種頂級奢華方案，在幽靜私密的舒適包廂中，享受按摩師嫻熟的技巧與貴婦等級的服務，感受結合有機精油與傳統泰式按摩的深度放鬆
29415,0,0
30167,0,0
20649,【泰北鄉村巡禮】清邁 ATV 越野探險之旅 - KKday,Chiang Mai X-Centre 離清邁市區約 25 分鐘車程，專業教練解說，帶領你挑戰刺激的 ATV 越野車，盡情體驗安全又刺激的越野探險之旅！
2462,【挑戰 55 座飛索平台】清邁叢林飛索 Dragon Flight 飛行體驗 - KKday,清邁叢林飛索 Dragon Flight ，擁有 800 米長的滑索道，穿上安全裝備，在活潑又專業的教練帶領下，站上飛索平台縱身一跳，迎風飛越清邁雨林，欣賞群山環繞的絕美風景，多達 55 座飛索平台，讓你體驗不同的刺激感受！
9694,越南胡志明 | 印度支那號 Indochina Junk 遊船晚宴門票 - KKday,現在預訂印度支那號遊船晚宴，共有五種套餐供選擇，讓你在欣賞西貢河與沿岸夜景之餘，放鬆享用精緻的晚宴美食，遊船上更有精彩的舞蹈、民謠、音樂與傳統表演，帶給你胡志明浪漫夜晚的特別體驗。
32046,【KKday專屬】峴港 Rendez Vous By Charm 水療按摩館 - KKday,您需要放鬆您的身心了！來到峴港市的豪華Rendez Vous By Charm水療按摩中心享受獨特的按摩療法吧。 Rendez Vous By Charm水療按摩館擁有著舒適廣闊的休閒空間、現代化的各項設施以及熟練按摩技巧的服務人員，來到這裡您將獲得前所未有的5星級水療按摩體驗。
34737,0,0
28733,0,0
31097,0,0
35188,0,0
33155,0,0
33829,0,0
28882,0,0
33255,印尼巴厘島庫塔海灘奧德賽衝浪學校 - KKday,在巴厘島最熱門的庫塔海灘學習衝浪. 學習如何站立在衝浪板上、如何保持平衡，以及如何應對海浪. 在由澳洲衝浪教練學院認證的專業的人士指導下學習衝浪.
28754,0,0
33223,新加坡 Central Perk 老友記咖啡館咖啡品嚐體驗 - KKday,由華納兄弟官方授權經營的 Central Perk 老友記咖啡館. 在還原劇中原貌的咖啡館享受舒適的體驗. 品嚐與劇集有關的佳餚和飲品.
34728,0,0
23160,0,0
7348,0,0
21818,【洛杉磯體驗】陽光四輪自動車公路體驗 - KKday,洛杉磯新體驗！騎乘四輪自動車，跟著導遊騎乘在公路上，經過伯班克，格倫代爾，托盧卡湖，格里菲斯公園和Studio City的街道，這將會是您最難忘的洛杉磯公路體驗。
29541,【芝加哥建築巡禮】芝加哥河建築遊船之旅船票 - KKday,乘坐 Wendella 遊輪，90 分鐘的航程中將由專業英語導遊帶領您遊覽芝加哥著名建築，像是箭牌大廈、川普大廈、船塢城（玉米大廈）、威利斯塔等建築瑰寶，瞭解其背後的設計理念與故事，相信您將會被芝加哥的建築物迷住。
29407,0,0
29898,0,0
33158,0,0
28414,0,0
17731,【迎接 2020 澳洲跨年】雪梨跨年煙火BALLROOM遊船晚宴 - KKday,一起迎接 2020 雪梨跨年煙火秀！來到BALLROOM遊船上，跟著專業DJ表演與世界旅人在舞池中狂歡一整晚！約7小時遊船巡航，提供酒水暢飲與海鮮自助晚餐，你將在舒適空調復古遊船中，在重點觀看煙火的區域，欣賞全球第一個跨年煙火秀！
26831,0,0
26854,0,0
31011,日本長野滑雪二日遊｜北志賀龍王滑雪公園｜東京出發 - KKday,參加日本滑雪巴士二日遊，北志賀龍王滑雪場擁有全日本最大的索道纜車 SKYLAND EXPRESS CABLE CAR，天氣晴朗時由山頂往山下看去可以看見美麗的雲海。從東京市區池袋車站出發，搭乘舒適的巴士，輕鬆前往長野縣人氣雪場北志賀龍王滑雪公園，交通、雪票、雪具，全部都幫你安排好
27467,【曼谷平價泰式按摩】Health Land Spa 按摩體驗（韓國仁川機場取件） - KKday,Health Land Spa 以實惠價格提供平價泰式與精油按摩服務，提前購買按摩體驗券，前往當地大型的 SPA 中心，任選全泰國 9 間分店，在豪華舒適的空間，享受按摩師嫻熟的技巧與最優質的服務，徹底放鬆身心靈。
7658,【體驗沙漠之舟】騎駱駝探索烏魯魯 - KKday,來到澳洲北領地絕不可錯過的特色體驗之一，你可以選擇要騎駱駝看日出、日落，或是將這個行程安排在日間行程中，感受天地之間的遼闊蒼茫！
20130,【庫克山國家公園】雪上飛機與直升機體驗 - KKday,在庫克山國家公園用兩種不同的飛行方式俯瞰絕美的南阿爾卑斯山。
22140,【台灣在地六四設計品牌】極簡弧面銀戒手作體驗 - KKday,"台灣在地銀飾設計品牌 ART64 六四設計。品牌於 2002 年創立，,Art Sixty-Four 來自 Art Successful 諧音，以優雅的白、紫色與黑色為店內色調基底，期待能製造讓人久待的玩銀空間兼具賞心悅目的氛圍。,多年以來，從事設計開發自有品牌飾品、銀飾客製化訂"
32880,台灣｜麥茵茲纖體美塑沙龍｜美體 SPA （須自行電話預約） - KKday,麥茵茲是台灣擁有超高人氣的美容品牌 ，更深受許多知名藝人及媒體好評推薦，店家提供從臉部保養到身體美膚等各式各樣的專業療程，不管是想要美容保養還是 SPA 按摩舒壓，徹底滿足你的需求，快使用 KKday 訂購享受到比現場更優惠的價格
28880,0,0
11086,泰國曼谷璀璨珍珠號遊船晚宴｜Wonderful Pearl Cruise - KKday,搭乘昭披耶河上豪華時尚的璀璨珍珠號，享受自助晚餐盛宴、現場演唱、泰式舞蹈表演與奢華露天噴泉。璀璨珍珠號曾出現在電影《湄公河行動》，是唯一擁有電梯的三層樓新船，你能像是走進電影場景般的感受時尚新潮的曼谷夜遊！
9778,【 So Thai Spa 泰式按摩】遠離塵囂放鬆身心 - KKday,曼谷的 So Thai Spa 是一個能夠讓你遠離城市喧囂，徹底放鬆身體、淨化心靈的綠洲。
25580,【曼谷泰式料理課程】Clay Pot Thai Cooking Mate 烹飪教室 - KKday,Clay Pot Thai Cooking Mate 料理教室就位在離臥佛寺約 50 公尺的位置，你將會前往泰國當地的市場認識在地食材，回到料理教室後，經由廚師的解說及示範，帶領你完成一道道美味的泰式料理。
